entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
AMC Pembroke Lakes 9,Pembroke Pines,33026,,Northwest 122nd Avenue,Florida,"Northwest 122nd Avenue, Pembroke Pines, FL 33026, United States of America",-80.30763702364506,26.0106239
,Miramar,33082,,Miramar Parkway,Florida,"Miramar, FL 33082, United States of America",-80.37157800307017,25.9827007
Regal Cinemas Oakwood Stadium 18,Hollywood,33020,,Oakwood Lane,Florida,"Oakwood Lane, Hollywood, FL 33020, United States of America",-80.16281212960689,26.036631900000003
,Pembroke Pines,33026,,All Golf Driveway,Florida,"Pembroke Pines, FL 33026, United States of America",-80.31345297703893,26.01641995
Dave & Buster's,Hollywood,33004,,I 95,Florida,"I 95, Hollywood, FL 33004, United States of America",-80.1624089,26.0401782
,Hollywood,33019,,Lake Observation Trail,Florida,"Hollywood, FL 33019, United States of America",-80.11963098925648,26.03884885
Anhinga Indian Museum,Hollywood Seminole Reservation,33312,,Stirling Road,Florida,"Stirling Road, Hollywood Seminole Reservation, FL 33312, United States of America",-80.209619,26.04601
Graves Museum of Archaeology and Natural History,,33004,481,Federal Highway,Florida,"481 Federal Highway, Dania Beach, FL 33004, United States of America",-80.143015,26.043234
Graves Museum,,33004,,Southwest 3rd Street,Florida,"Southwest 3rd Street, Dania Beach, FL 33004, United States of America",-80.1447222,26.0469444
Regal Cinemas Westfork 13,Pembroke Pines,33027,15977,Pines Boulevard,Florida,"15977 Pines Boulevard, Pembroke Pines, FL 33027, United States of America",-80.3590629120451,26.0116823
Splash Pad,,33328,,South Pine Island Road,Florida,"South Pine Island Road, Davie, FL 33328, United States of America",-80.25840411615384,26.047802599999997
Zoological Wildlife Foundation,,33187,16225,Southwest 172nd Avenue,Florida,"16225 Southwest 172nd Avenue, Miami-Dade County, FL 33187, United States of America",-80.4707341,25.6143429
,,33026,,Open Way,Florida,"Cooper City, FL 33026, United States of America",-80.30247632355155,26.041639
IGFA Hall of Fame Museum,,33004,,I 95,Florida,"I 95, Dania Beach, FL 33004, United States of America",-80.1643664,26.0596527
,,33314,,Walsh Road,Florida,"Downtown Davie, FL 33314, United States of America",-80.23589524917983,26.0634002
,,33314,,Walsh Road,Florida,"Downtown Davie, FL 33314, United States of America",-80.2356403351423,26.063481850000002
,,33314,,Walsh Road,Florida,"Downtown Davie, FL 33314, United States of America",-80.23539550000001,26.0635205
,,33314,6650,Walsh Road,Florida,"Downtown Davie, FL 33314, United States of America",-80.23591884638591,26.064392599999998
Old Davie School Historical Museum,,33314,,Walsh Road,Florida,"Walsh Road, Downtown Davie, FL 33314, United States of America",-80.2356096,26.064367
Cinemark Paradise,Southwest Ranches,33330,,Sheridan Street,Florida,"Sheridan Street, Southwest Ranches, FL 33330, United States of America",-80.35607253737757,26.032254950000002
Bailey Hall,,33314,,Broward College,Florida,"Broward College, Davie, FL 33314, United States of America",-80.23642535343483,26.078431199999997
