Hotel Name,city,postcode,housenumber,street,state,address2,longitude,latitude
Jetset Franklin,Miami Beach,33139,,Collins Court,Florida,"Collins Court, Miami Beach, FL 33139, United States of America",-80.1323084,25.77927875
The Tony Hotel South Beach,Miami Beach,33139,801,Collins Avenue,Florida,"801 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13186861138689,25.778328799999997
Washington Park Hotel,Miami Beach,33139,1050,Washington Avenue,Florida,"1050 Washington Avenue, Miami Beach, FL 33139, United States of America",-80.1332103439024,25.781806600000003
The Colony Hotel,Miami Beach,33139,736,Ocean Drive,Florida,"736 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13159310931559,25.777469699999997
Sunbrite Apartments,Miami Beach,33139,1330,Pennsylvania Avenue,Florida,"1330 Pennsylvania Avenue, Miami Beach, FL 33139, United States of America",-80.13460544535025,25.784738949999998
Boulevard Hotel,Miami Beach,33139,740,Ocean Drive,Florida,"740 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13156169228279,25.77760085
Starlite Hotel,Miami Beach,33139,750,Ocean Drive,Florida,"750 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13153379814327,25.7777345
Mr. C Miami - Coconut Grove,Miami,33133,2988,McFarlane Road,Florida,"2988 McFarlane Road, Miami, FL 33133, United States of America",-80.24220418136287,25.7273055
Princess Ann Hotel,Miami Beach,33139,920,Collins Avenue,Florida,"920 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1321721,25.77981805
Loft Hostel,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1319952,25.7790567
South Beach Hotels Group,Miami Beach,33139,855,Collins Avenue,Florida,"855 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1317176082882,25.779023350000003
Blue Moon Hotel,Miami Beach,33139,944,Collins Avenue,Florida,"944 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13202447092561,25.78015955
,Miami Beach,33139,,Ocean Court,Florida,"Miami Beach, FL 33139, United States of America",-80.13138340829451,25.778408499999998
The Loft Hotel,Miami Beach,33139,952,Collins Avenue,Florida,"952 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1320490478794,25.780360549999997
Pelican Hotel,Miami Beach,33139,826,Ocean Drive,Florida,"826 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13135615226636,25.77854675
Viscay Hotel,Miami Beach,33139,960,Collins Avenue,Florida,"960 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13202975988176,25.780502
Sherbrooke All Suites Hotel,Miami Beach,33139,901,Collins Avenue,Florida,"901 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13162725785992,25.7794349
Casa Grande Suite Hotel,Miami Beach,33139,834,Ocean Drive,Florida,"834 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1313136214395,25.778733799999998
Fairwind Hotel Miami,Miami Beach,33139,1000,Collins Avenue,Florida,"1000 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13198019827325,25.780758749999997
apt 202,Miami Beach,33139,1300,Pennsylvania Avenue,Florida,"1300 Pennsylvania Avenue, Miami Beach, FL 33139, United States of America",-80.1341122,25.7852733
Room Mate Waldorf Towers Hotel,Miami Beach,33139,860,Ocean Drive,Florida,"860 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13124044340148,25.7790898
Deco Walk,Miami Beach,33139,928,Ocean Drive,Florida,"928 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13109495,25.779759300000002
Essex House Hotel,Miami Beach,33139,1001,Collins Avenue,Florida,"1001 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13134166528354,25.7807593
Hotel Breakwater South Beach,Miami Beach,33139,940,Ocean Drive,Florida,"940 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13104388764124,25.779999699999998
Hyatt Regency Coral Gables,,33134,50,Alhambra Plaza,Florida,"50 Alhambra Plaza, Coral Gables, FL 33134, United States of America",-80.25549953676449,25.7518791
Parqueadero Miami Beach,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13124569565555,25.78118895
The Stiles Hotel,Miami Beach,33139,1120,Collins Avenue,Florida,"1120 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13157148147774,25.7822021
Ocean Blue Hostel,Miami Beach,33139,,Ocean Drive,Florida,"Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1309328,25.7796047
Cils Home,Miami,33145,,Southwest 23rd Street,Florida,"Southwest 23rd Street, Miami, FL 33145, United States of America",-80.254058,25.7482753
