name,city,postcode,street,address2,Transport_Type,Transport,Route,longitude,latitude
Northwest 5th Street & Northwest 7th Avenue,Miami,33128,Northwest 5th Street,"Northwest 5th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 5th St & NW 7th Av,-80.2053358,25.7785481
Southwest 7th Street & Southwest 12th Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 12th Av,-80.214258,25.7668131
Biscayne Boulevard & Northeast 9th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 9th St,-80.1896731,25.7825935
Biscayne Boulevard & Northeast 9th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 9th St,-80.1892134,25.7826508
Southwest 3rd Avenue & Southwest 31st Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",Miami-Dade Transit,bus_stop,SW 3rd Av & SW 31st Rd,-80.2128545,25.7523768
Northwest 6th Street & Northwest 6th Avenue,Miami,33136,Northwest 6th Street,"Northwest 6th Street, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 6th St & NW 6th Av,-80.2043933,25.7796775
Northeast 2nd Avenue & Northeast 9th Street,Miami,33137,Northeast 2nd Avenue,"Northeast 2nd Avenue, Miami, FL 33137, United States of America",Miami-Dade Transit,bus_stop,NE 2nd Av & NE 9th St,-80.1906545,25.7831222
West Flagler Street & Northwest 10th Avenue,Miami,33128,West Flagler Street,"West Flagler Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 10th Av,-80.2116781,25.7736847
Southwest 8th Street & Southwest 12th Court,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 12th Ct,-80.215545,25.7657541
Northwest 9th Street & Northwest 2nd Court,Miami,33136,Northwest 9th Street,"Northwest 9th Street, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 9th St & NW 2nd Ct,-80.1990403,25.7826113
